,Date,Close,Percentage_Increase_Decrease,Amount_Invested,return_on_investment
3287,2021-02-23,14707.7998046875,0.21872625461001327,0.0,1807269.383775465
3288,2021-02-24,14982.0,1.864318245786234,0.0,1840962.6366476994
3289,2021-02-25,15097.349609375,0.7699213013950157,0.0,1855136.6001379734
3290,2021-02-26,14529.150390625,-3.7635693247585977,3132.0,1788449.248122811
3291,2021-03-01,14761.5498046875,1.5995389118723446,0.0,1817056.1897656238
3292,2021-03-02,14919.099609375,1.0672985341787733,0.0,1836449.603844197
3293,2021-03-03,15245.599609375,2.1884698711632122,0.0,1876639.7501234235
3294,2021-03-04,15080.75,-1.0812930524138231,540.0,1856887.774886503
3295,2021-03-05,14938.099609375,-0.9459104528952489,421.0,1839744.2793253174
3296,2021-03-08,14956.2001953125,0.12117060677612201,0.0,1841973.5086317048
3297,2021-03-09,15098.400390625,0.9507775601791391,0.0,1859486.5794162194
3298,2021-03-10,15174.7998046875,0.5060099883821945,0.0,1868895.767240692
3299,2021-03-12,15030.9501953125,-0.9479506235763657,382.0,1851561.5581611416
3300,2021-03-15,14929.5,-0.6749419963093084,246.0,1839310.591617593
3301,2021-03-16,14910.4501953125,-0.1275984104457617,43.0,1837006.6605395286
3302,2021-03-17,14721.2998046875,-1.2685759862868795,427.0,1814129.8351774337
3303,2021-03-18,14557.849609375,-1.1102973071742905,326.0,1794313.6004688132
3304,2021-03-19,14744.0,1.2786942826028547,0.0,1817257.3858899733
3305,2021-03-22,14736.400390625,-0.0515437423697751,13.0,1816333.7034247944
3306,2021-03-23,14814.75,0.531673999743143,0.0,1825990.6774744757
3307,2021-03-24,14549.400390625,-1.7911176994211853,466.0,1793751.0352604496
3308,2021-03-25,14324.900390625,-1.5430189146808937,329.0,1766402.1175040966
3309,2021-03-26,14507.2998046875,1.2733031929623273,0.0,1788893.7720668304
3310,2021-03-30,14845.099609375,2.328481586755049,0.0,1830547.8341560145
3311,2021-03-31,14690.7001953125,-1.0400699094332388,1807.0,1813315.856955176
3312,2021-04-01,14867.349609375,1.202457416691849,0.0,1835120.2079651828
3313,2021-04-05,14637.7998046875,-1.543986054802604,771.0,1807557.207865336
3314,2021-04-06,14683.5,0.3122067245233451,0.0,1813200.523017898
3315,2021-04-07,14819.0498046875,0.9231436965811968,0.0,1829938.969352515
3316,2021-04-08,14873.7998046875,0.36945688638336804,0.0,1836699.8048914007
3317,2021-04-09,14834.849609375,-0.26187118170183377,110.0,1832000.0174080164
3318,2021-04-12,14310.7998046875,-3.5325589304007643,1455.0,1768738.537188126
3319,2021-04-13,14504.7998046875,1.3556195506029933,0.0,1792715.9025972977
3320,2021-04-15,14581.4501953125,0.5284484560774683,0.0,1802189.4821064284
3321,2021-04-16,14617.849609375,0.2496282165007191,0.0,1806688.2555685742
3322,2021-04-19,14359.4501953125,-1.7676978554819645,470.0,1775221.466019644
3323,2021-04-20,14296.400390625,-0.43908230349990474,96.0,1767522.78271442
3324,2021-04-22,14406.150390625,0.7676757575422188,0.0,1781091.6266263542
3325,2021-04-23,14341.349609375,-0.44981330537942066,94.0,1773174.03950879
3326,2021-04-26,14485.0,1.0016518287169873,0.0,1790935.0697018646
3327,2021-04-27,14653.0498046875,1.1601643402658013,0.0,1811712.85973786
3328,2021-04-28,14864.5498046875,1.4433855260107098,0.0,1837862.860928191
3329,2021-04-29,14894.900390625,0.20418099664161193,0.0,1841615.4276345402
3330,2021-04-30,14631.099609375,-1.7710812045177438,2004.0,1811002.9229362058
3331,2021-05-03,14634.150390625,0.02085134632017205,0.0,1811380.5414275357
3332,2021-05-04,14496.5,-0.940610742344028,470.0,1794812.5014701388
3333,2021-05-05,14617.849609375,0.8370959153933599,0.0,1809836.8036089146
3334,2021-05-06,14724.7998046875,0.73164109749706,0.0,1823078.3134617447
3335,2021-05-07,14823.150390625,0.6679247748155426,0.0,1835255.1051816451
3336,2021-05-10,14942.349609375,0.8041422748121585,0.0,1850013.167333059
3337,2021-05-11,14850.75,-0.6130201191218876,277.0,1838949.2144109034
3338,2021-05-12,14696.5,-1.03866808073666,441.0,1820289.6358998597
3339,2021-05-14,14677.7998046875,-0.12724250884564858,48.0,1818021.4536988833
3340,2021-05-17,14923.150390625,1.6715760481972541,0.0,1848411.0648700013
3341,2021-05-18,15108.099609375,1.2393443335275034,0.0,1871319.242662763
3342,2021-05-19,15030.150390625,-0.5159432408138875,194.0,1861858.2975161949
3343,2021-05-20,14906.0498046875,-0.8256776060930671,3570.0,1850055.350496418
3344,2021-05-21,15175.2998046875,1.806313567497475,0.0,1883473.1512986477
3345,2021-05-24,15197.7001953125,0.1476108604989923,0.0,1886253.3622245472
3346,2021-05-25,15208.4501953125,0.07073438653115716,0.0,1887587.59196874
3347,2021-05-26,15301.4501953125,0.6115021504864648,0.0,1899130.2306859447
3348,2021-05-27,15337.849609375,0.2378821196545866,0.0,1903647.9219337015
3349,2021-05-28,15435.650390625,0.6376433707514062,0.0,1915786.4067103586
3350,2021-05-31,15582.7998046875,0.9533088035724946,0.0,1934049.7671831737
3351,2021-06-01,15574.849609375,-0.05101904286871628,25.0,1933088.0335033522
3352,2021-06-02,15576.2001953125,0.00867158252806366,0.0,1933255.6628275176
3353,2021-06-03,15690.349609375,0.7328450625387672,0.0,1947423.4314988002
3354,2021-06-04,15670.25,-0.1281017305247989,63.0,1944991.7483824047
3355,2021-06-07,15751.650390625,0.519458149199914,0.0,1955095.166520643
3356,2021-06-08,15740.099609375,-0.07333060957773752,36.0,1953697.4833172085
3357,2021-06-09,15635.349609375,-0.6654976944212576,324.0,1941019.6716097663
3358,2021-06-10,15737.75,0.6549286916079033,0.0,1953731.966348892
3359,2021-06-11,15799.349609375,0.3914130633349666,0.0,1961379.1284877327
3360,2021-06-14,15811.849609375,0.07911718082738162,0.0,1962930.916359529
3361,2021-06-15,15869.25,0.3630213545097627,0.0,1970056.774760188
3362,2021-06-16,15767.5498046875,-0.6408632752808119,291.0,1957722.4043885684
3363,2021-06-17,15691.400390625,-0.48295020472909345,205.0,1948472.5800285465
3364,2021-06-18,15683.349609375,-0.0513069646403852,20.0,1947492.8778908837
3365,2021-06-21,15746.5,0.40265882096546246,0.0,1955334.6297513854
3366,2021-06-22,15772.75,0.16670371193598932,0.0,1958594.2451599508
3367,2021-06-23,15686.9501953125,-0.5439749231269109,219.0,1948158.9836204739
3368,2021-06-24,15790.4501953125,0.6597840798329813,0.0,1961012.6264442378
3369,2021-06-25,15860.349609375,0.44266891189239654,0.0,1969693.419699791
3370,2021-06-28,15814.7001953125,-0.28782098242977616,109.0,1964133.2287483562
3371,2021-06-29,15748.4501953125,-0.41891404314852165,155.0,1956060.1988269829
3372,2021-06-30,15721.5,-0.17112919035373597,3553.0,1956265.8088458986
3373,2021-07-01,15680.0,-0.2639697229908089,131.0,1951232.8594093241
3374,2021-07-02,15722.2001953125,0.2691338986766656,0.0,1956484.2884761125
3375,2021-07-05,15834.349609375,0.7133188273225066,0.0,1970440.2592594195
3376,2021-07-06,15818.25,-0.10167521731027085,49.0,1968485.8098438485
3377,2021-07-07,15879.650390625,0.3881617158977724,0.0,1976126.7181405425
3378,2021-07-08,15727.900390625,-0.95562557277451,460.0,1957702.345871562
3379,2021-07-09,15689.7998046875,-0.24224839292732447,105.0,1953064.8434003876
3380,2021-07-12,15692.599609375,0.017844744498685117,0.0,1953413.362831586
3381,2021-07-13,15812.349609375,0.7630985495128417,0.0,1968319.831869344
3382,2021-07-14,15853.9501953125,0.26308921169333477,0.0,1973498.2689986126
3383,2021-07-15,15924.2001953125,0.4431072328003882,0.0,1982242.982567736
3384,2021-07-16,15923.400390625,-0.0050225736783704455,2.0,1982145.4229534522
3385,2021-07-19,15752.400390625,-1.0738912280361723,456.0,1961315.3371294346
3386,2021-07-20,15632.099609375,-0.76369809214345,289.0,1946625.8093188603
3387,2021-07-22,15824.0498046875,1.2279233123449584,0.0,1970528.8814356104
3388,2021-07-23,15856.0498046875,0.2022238326785386,0.0,1974513.760463687
3389,2021-07-26,15824.4501953125,-0.19929055322251976,69.0,1970647.741067004
3390,2021-07-27,15746.4501953125,-0.4929081202650898,169.0,1961103.2583294641
3391,2021-07-28,15709.400390625,-0.2352898858342667,76.0,1956564.9807118487
3392,2021-07-29,15778.4501953125,0.4395444954646832,0.0,1965164.9543847572
3393,2021-07-30,15763.0498046875,-0.0976039499086867,3194.0,1966440.8757670564
3394,2021-08-02,15885.150390625,0.7746000136419795,0.0,1981672.9270590094
3395,2021-08-03,16130.75,1.5460955882416139,0.0,2012311.4847576472
3396,2021-08-04,16258.7998046875,0.7938242467802281,0.0,2028285.7012443966
3397,2021-08-05,16294.599609375,0.22018725316477195,0.0,2032751.7278163005
3398,2021-08-06,16238.2001953125,-0.3461233501561467,173.0,2025888.8994356256
3399,2021-08-09,16258.25,0.12347307242392969,0.0,2028390.3267036541
3400,2021-08-10,16280.099609375,0.13439090538649445,0.0,2031116.2988284833
3401,2021-08-11,16282.25,0.013208706805212245,0.0,2031384.5830252685
3402,2021-08-12,16364.400390625,0.5045395484346349,0.0,2041633.721627435
3403,2021-08-13,16529.099609375,1.0064482340847336,0.0,2062181.7081652328
3404,2021-08-16,16563.05078125,0.2054024277023725,0.0,2066417.4794574385
3405,2021-08-17,16614.599609375,0.31122785775283823,0.0,2072848.746310984
3406,2021-08-18,16568.849609375,-0.275360231817956,132.0,2067272.9451979066
3407,2021-08-20,16450.5,-0.7142898400624986,4695.0,2057201.624583997
3408,2021-08-23,16496.44921875,0.27931806783987323,0.0,2062947.7604133557
3409,2021-08-24,16624.599609375,0.7768362083601765,0.0,2078973.485575802
3410,2021-08-25,16634.650390625,0.06045728309951315,0.0,2080230.3764615403
3411,2021-08-26,16636.900390625,0.013525983096518424,0.0,2080511.748070629
3412,2021-08-27,16705.19921875,0.41052615884800137,0.0,2089052.793034365
3413,2021-08-30,16931.05078125,1.3519836521704187,0.0,2117296.445281399
3414,2021-08-31,17132.19921875,1.1880446175423387,0.0,2142450.87173698
3415,2021-09-01,17076.25,-0.326573477436376,163.0,2135617.1954227826
3416,2021-09-02,17234.150390625,0.9246783727399066,0.0,2155364.7857533717
3417,2021-09-03,17323.599609375,0.5190230833697296,0.0,2166551.626522254
3418,2021-09-06,17377.80078125,0.31287476677577253,0.0,2173330.2198708123
3419,2021-09-07,17362.099609375,-0.09035189246697772,43.0,2171409.574887602
3420,2021-09-08,17353.5,-0.049530929832686255,23.0,2170357.055534684
3421,2021-09-09,17369.25,0.09075978909154347,0.0,2172326.8670208207
3422,2021-09-13,17355.30078125,-0.0803098507419775,38.0,2170620.2745562885
3423,2021-09-14,17380.0,0.1423151293159064,0.0,2173709.3956069807
3424,2021-09-15,17519.44921875,0.802354538262362,0.0,2191150.2515912685
3425,2021-09-16,17629.5,0.6281634763507293,0.0,2204914.257183732
3426,2021-09-17,17585.150390625,-0.2515647600612625,119.0,2199486.469923091
3427,2021-09-20,17396.900390625,-1.0705054879733056,493.0,2176433.846555334
3428,2021-09-21,17562.0,0.949017386246398,0.0,2197088.582159295
3429,2021-09-22,17546.650390625,-0.08740239935656202,36.0,2195204.274022499
3430,2021-09-23,17822.94921875,1.5746528367181822,0.0,2229771.1203951533
3431,2021-09-24,17853.19921875,0.16972499684944076,0.0,2233555.5993589936
3432,2021-09-27,17855.099609375,0.010644538279747096,0.0,2233793.351039767
3433,2021-09-28,17748.599609375,-0.596468249015425,243.0,2220712.482952197
3434,2021-09-29,17711.30078125,-0.21015082285871234,80.0,2216125.637395947
3435,2021-09-30,17618.150390625,-0.5259376020738893,3762.0,2208232.199359682
3436,2021-10-01,17532.05078125,-0.48869834497958786,244.0,2197684.605148105
3437,2021-10-04,17691.25,0.9080467581137563,0.0,2217640.6089587174
3438,2021-10-05,17822.30078125,0.7407660919946268,0.0,2234068.1386321867
3439,2021-10-06,17646.0,-0.9892144870289554,470.0,2212438.412954739
3440,2021-10-07,17790.349609375,0.8180302016037588,0.0,2230536.8273645914
3441,2021-10-08,17895.19921875,0.5893622760496431,0.0,2243682.769978473
3442,2021-10-11,17945.94921875,0.28359561343596074,0.0,2250045.7558935503
3443,2021-10-12,17991.94921875,0.25632525445875576,0.0,2255813.191402783
3444,2021-10-13,18161.75,0.943759784921161,0.0,2277102.6491261893
3445,2021-10-14,18338.55078125,0.9734787740718787,0.0,2299269.7600792614
3446,2021-10-18,18477.05078125,0.7552396132719963,0.0,2316634.756123364
3447,2021-10-19,18418.75,-0.3155307734996393,135.0,2309460.0605582064
3448,2021-10-20,18266.599609375,-0.8260625212080042,342.0,2290724.4765556674
3449,2021-10-21,18178.099609375,-0.4844908296702255,184.0,2279810.126533744
3450,2021-10-22,18114.900390625,-0.3476668084567369,126.0,2272009.9834279506
3451,2021-10-25,18125.400390625,0.0579633328010587,0.0,2273326.9161359183
3452,2021-10-26,18268.400390625,0.7889480889700096,0.0,2291262.2853968134
